resolution,rho_means,vx_means,vy_means
64,-0.0087890625,0.0,0.010187307692307695
64,-0.017501265401785718,0.0,0.030381239313654496
64,-0.025869425252196616,0.0,0.05960856005666876
64,-0.03346341889620883,0.0,0.09522455673878215
64,-0.039831980747853366,0.0,0.13073638646625038
64,-0.0433515510387263,0.0,0.15925154341234954
64,-0.044347647894340037,0.0,0.1620736452783678
64,-0.04740682700575817,0.0,0.17671217302989806
64,-0.049725840300318506,0.0,0.20102409847280944
64,-0.0509493096466036,0.0,0.19765853094681435
64,-0.055296039870203,0.0,0.21978089044593552
64,-0.05661708516928391,0.0,0.23546403914115493
64,-0.05964322580388831,0.0,0.2418398119437097
64,-0.06320629643768345,0.0,0.26494039519922
64,-0.06476858417327726,0.0,0.27712662487059325
64,-0.0675090487503301,0.0,0.28824604312353463
64,-0.07047656953266583,0.0,0.31014996854876203
64,-0.07180490676234702,0.0,0.3217451874251112
64,-0.07479032086710811,0.0,0.3358114529065149
64,-0.07695746946678501,0.0,0.3592029459293003
64,-0.07891221346373609,0.0,0.3672279409905268
64,-0.082601797023478,0.0,0.3859881372201485
64,-0.0843021717126681,0.0,0.4075523108105354
64,-0.08712172118625759,0.0,0.4168094219483632
64,-0.0908108400012328,0.0,0.4405197411976317
64,-0.09220787690945445,0.0,0.4587160409664369
64,-0.09473250269075031,0.0,0.4699795854438971
64,-0.09840536489660892,0.0,0.49524907248190553
64,-0.099487944096341,0.0,0.5125747230524436
64,-0.10208578173663191,0.0,0.5265041014244137
64,-0.10523243694807947,0.0,0.5530525058546049
64,-0.10661542634976887,0.0,0.5673962327833528
64,-0.1101364080258073,0.0,0.5845626014536967
64,-0.11227786408117618,0.0,0.6142343694670637
64,-0.11452371589786128,0.0,0.6247718122127277
64,-0.11806261297180731,0.0,0.6464453768289873
64,-0.11998297187810829,0.0,0.6745209905966537
64,-0.1222924720922791,0.0,0.6836076192264331
64,-0.12587283143000377,0.0,0.7100806883630197
64,-0.12715796765997237,0.0,0.7322044936664517
64,-0.12961527208818832,0.0,0.7454489261742371
64,-0.13348048293062,0.0,0.7746631160970845
64,-0.1344991601098338,0.0,0.7954354511724266
64,-0.13727352781135613,0.0,0.8118146854738091
64,-0.14058245047271825,0.0,0.8427648505897272
64,-0.1419110380209747,0.0,0.8612696607977166
64,-0.1452929773924625,0.0,0.8795024433833436
64,-0.14800238395898602,0.0,0.9136152724750678
64,-0.1498851916547496,0.0,0.9287761274255896
64,-0.15320406383888058,0.0,0.9504672348494073
64,-0.15554128994667152,0.0,0.9864098703152986
64,-0.15759218274449027,0.0,0.996492233890712
64,-0.16093922828623758,0.0,1.0226667985819757
64,-0.1624936458948478,0.0,1.052195020492879
64,-0.16484455465387263,0.0,1.064104443451228
64,-0.1686109930482988,0.0,1.0954574641461123
64,-0.1697122836743678,0.0,1.1200897466822832
64,-0.17230597555246707,0.0,1.1376922399203062
64,-0.1760406157788419,0.0,1.1720491054175395
64,-0.17713216607198076,0.0,1.1945290082017015
64,-0.18034462815807195,0.0,1.2140717883033894
64,-0.18342137630492605,0.0,1.251289289330237
64,-0.18502303977223775,0.0,1.2714024820177658
